"SBETa
(m2/g)","Vbtoal(cm3/g)","Vcmicro(cm3/g)",C,H,N,O *,adb
1.26,,87.81,,1.17,11.02,2.7,
0.91,0.49,40.4,,5.6,54,4.8,8.2
0.56,59.5,,2.5,38,4.4,7.6,
0.75,0.21,64,,2.2,33.8,4,6.5
1.36,1.22,,,,,5.12,
1.1,,,,,5.48,,
0.6,,,,,4.23,,
0.02,,83.16,1.74,3.81,,1.94,
0.44,,87,0.97,0.83,,4.52,
,83.26,1.17,1.76,,4.6,,
,83.59,1.18,1.98,,4.8,,
0.53,,83.02,1.16,1.98,,4.76,
,84.19,1.12,1.99,,4.71,,
0.38,,67.03,2.34,3.77,,3.39,
,68.32,2.55,4.01,,3.67,,
,67.65,2.25,4.5,,3.22,,
,70.25,2.12,3.21,,3.69,,
,71.37,2.04,3.64,,3.47,,
,70.98,2.06,4.03,,3.12,,
0.48,,73.56,2.09,2.61,,3.88,
1.34,,74.32,1.97,3.08,,3.51,
1.03,,74.98,1.88,3.45,,3.45,
0.31,,77.7,2.58,2.72,,3.32,
,78.36,2.29,4.56,,4.12,,
,79.36,2.43,5.36,,4.14,,
,79.11,2.16,6.05,,3.83,,
,80.6,2.42,1.56,,3.86,,
0.45,,79.32,2.36,3.9,,4.06,
0.59,,78.62,1.76,4.25,,4.64,
0.64,,77.65,2.24,5.94,,4.4,
0.39,,85.36,1.95,1.39,,4.03,
0.54,,83.69,1.7,3.85,,4.61,
0.79,,81.34,1.64,4.09,,4.57,
0.94,,76.96,1.29,5.74,,4.38,
0.02,,80.03,,13.53,5.76,1.5,
,,,,,,,
982,0.62,,79.26,,8.12,11.89,2.2
582,0.29,,74.73,,15.88,7.28,2.1
"1,165",1.03,,64.7,1.5,10.4,23.25,4.4
"2,693",1.68,,84.8,0.5,6.2,8.21,3.1
"2,731",1.89,,86.8,1.8,2.6,7.9,2.5
"2,799",1.91,,91.9,1.2,1.6,4.45,2.2
667,0.29,0.28,63.3,2.4,6.5,,3.74
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
716,0.32,0.31,61.5,2.5,6.6,,4.04
,,,,,,,
0.33,0.31,59.1,2.3,6.8,,4.17,
0.4,0.39,57.9,2.6,6.7,,4.26,
0.42,,72.21,2.55,3.68,,3.63,
,68.99,2.21,5.16,,4.04,,
,78.02,2.44,5.38,,4.49,,
,70.16,3.06,5.06,,3.87,,
,76.23,2.39,3.81,,3.73,,
,79.18,2.11,2.6,,3.99,,
,,,,4.3,,2.7,
,,,,5.3,,3.2,
1,,,,5.4,,2.1,
0.68,,,,4.05,,1.7,
0.76,,,,3.5,,2,
0.22,0.18,71.9,1.37,11.25,15.48,1.48,
0.57,0.37,70.73,1.64,4.57,23.06,2.33,
0.78,0.54,69.65,1.42,4.14,24.79,2.78,
0.48,0.39,84.8,,1.7,,3.39,
0.51,0.4,81.3,,1,,4.09,
0.65,0.54,84.4,,1.3,,4.41,
0.66,0.56,85.5,,2.5,,4.2,
1.03,0.89,86.5,,0.4,,3.93,
0.88,0.72,84.8,,0.4,,4.23,
0.01,0.01,,,0.41,0.8,0.41,
0.45,,,2.04,1684,2.04,,
992,0.61,0.37,,,2.22,992,2.22
402,0.22,0.09,,,0.85,402,0.85
990,0.55,0.45,,,2.67,990,2.67
"1,393",0.63,0.49,87.48,,1.61,10.91,3.92
"1,759",0.92,0.6,89.48,,1.43,9.09,4.45
"1,229",0.89,0.15,92.59,,0.99,6.42,3.76
"2,511",1.35,1.16,76.38,1.48,7.21,,5.05
"1,426.10",0.83,0.56,43.5,2.2,4.2,,2.7
"1,082",0.43,,69.6,,3.3,13.8,3.2
"1,994",0.87,,73.1,,4.2,10.3,3.08
0.8,,74,,3.5,12.5,5.22,
"1,230",0.9,,,,,,
"2,380",1.64,,,,,,
"2,700",1.33,,,,,,
514,0.21,,,,0.4,7.4,
"1,248",0.44,,,,0.7,11.3,
534,0.25,,,,4.1,12.2,
847,0.34,,,,1.3,16.8,
535,0.23,,,,1.8,12.9,
0.27,,,,2.2,7.8,,
296,,,,,,,
0.525,,,,,,,
0.276,,,,,,,
0.04,,,,,,,
0.31,,,,,,,
0.48,,,,,,,
0.7,,,,,,,
1.29,,,,,,,
44,,,,,,,
